"Temel alanlara göre kültür ve eğlence faaliyetlerine bir ayda ayrılan ortalama süre, 2006                                                                                              ",,,,,
"Average time spent per month on activities by core domains, 2006",,,,,
[15 ve daha yukarı yaştaki nüfus-15 years old & over],,,,,
 (saat-hh:mm),,,,,
Temel alanlar,,,Toplam,Erkek,Kadın
Core domains,,,Total,Male,Female
Kültür - Culture,,,72:24,74:58,69:58
,Görsel-işitsel medya - Audio-visual media,,66:08,67:38,64:43
,,Sinema - Going to the cinema,00:32,00:32,00:32
,,Radyo - Listening to the radio,00:57,00:49,01:04
,,Televizyon - Watching television,63:15,64:47,61:48
,,Video - Watching video,0:25,0:28,0:21
,,Müzik dinleme ve kaydetme - Listening to music,1:00,1:02,0:58
,Yazılı medya ve kitap - Press and books,,5:36,6:45,4:30
,,Yazılı medya - Reading newspapers etc.,2:40,3:59,1:24
,,Kitap - Reading books etc.,2:56,2:46,3:06
,Müzik ve sahne sanatları gösterisi - Performing arts,,0:25,0:23,0:28
,Diğer kültürel alanlar - Other cultural domains,,0:14,0:11,0:18
İnternet ve internet dışı bilgisayar kullanımı - Internet and computer use,,,3:52,6:13,1:37
,İnternet kullanımı - Internet use,,2:07,3:18,0:59
,İnternet dışı bilgisayar kullanımı - Computer use,,1:45,2:54,0:38
Eğlence - Entertainment,,,6:53,9:48,4:06
,"Yakın çevrede yürümek, gezmek - Walking and hiking",,4:45,7:06,2:31
,Parka vb. mekanlara gitmek - Going to park etc.,,0:57,1:14,0:42
,Piknik vb. doğa gezileri yapmak - Going to picnic and outdoor activities,,0:42,0:44,0:40
,"Eğlence vb. yerlere gitmek - Going to bar, disco, tavern etc.",,0:29,0:45,0:14
"Kaynak: Zaman Kullanımı Araştırması,2006",,,,"Source: Time Use Survey, 2006",
2006 yılından itibaren bu tablo güncellenmeyecektir. ,,,,                      This table is not updated since 2006,
