"Temel alanlara göre kültür ve eğlence faaliyetlerine ayrılan ortalama süre oranı, 2006                                                                                              ",,,,,
"Percentage of the duration of activities by core domains, 2006",,,,,
[15 ve daha yukarı yaştaki nüfus-15 years old & over],,,,,
(%),,,,,
Temel alanlar,,,Toplam,Erkek,Kadın
Core domains,,,Total,Male,Female
Kültür- Culture,,,100,100,100
,Görsel-işitsel medya - Audio-visual media,,91.3,90.2,92.5
,,Sinema - Going to the cinema,0.7,0.7,0.8
,,Radyo - Listening to the radio,1.3,1.1,1.5
,,Televizyon - Watching television,87.4,86.4,88.3
,,Video - Watching video,0.6,0.6,0.5
,,Müzik dinleme ve kaydetme - Listening to music,1.4,1.4,1.4
,Yazılı medya ve kitap - Press and books,,7.7,9,6.4
,,Yazılı medya - Reading newspapers etc.,3.7,5.3,2
,,Kitap - Reading books etc.,4.1,3.7,4.4
,Müzik ve sahne sanatları gösterisi - Performing arts,,0.6,0.5,0.7
,Diğer kültürel alanlar - Other cultural domains,,0.3,0.2,0.4
İnternet ve internet dışı bilgisayar kullanımı - Internet and computer use,,,100,100,100
,İnternet kullanımı - Internet use,,54.8,53.2,60.9
,İnternet dışı bilgisayar kullanımı - Computer use,,45.2,46.8,39.1
Eğlence - Entertainment,,,100,100,100
,"Yakın çevrede yürümek, gezmek - Walking and hiking",,69,72.4,61.3
,Parka vb. mekanlara gitmek - Going to park etc.,,13.9,12.5,16.9
,Piknik vb. doğa gezileri yapmak - Going to picnic and outdoor activities,,10.1,7.5,16.2
,"Eğlence vb. yerlere gitmek - Going to bar, disco, tavern etc.",,7,7.6,5.6
"Kaynak: Zaman Kullanımı Araştırması,2006",,,,"Source: Time Use Survey, 2006",
2006 yılından itibaren bu tablo güncellenmeyecektir. ,,,,This table is not updated since 2006,
