"Kültür İstatistikleri,1990-2019",,,,,,
"Cultural Statistics,1990-2019",,,,,,
Yıl                        Year,Halk                         kütüphanesi                                       sayısı                                    Number of                                 public                               libraries,Halk                      kütüphanesi                                kullanıcı                        sayısı                             Number of                                           users at                                 public                                          libraries,Sinema                  salonu sayısı                     Number of                 movie houses,Sinema                    seyirci                       sayısı                      Number of                           attendances in                          movie houses ,Gazete/dergi                            sayısı                           Number of                                  newspapers/                 magazines,Gazete/dergi                                  tirajı                                 (Yıllık adet)                          Circulation of                          newspaper/magazine                                              (Annual total)
,,,,,,
1990,  914 ,18 748 495 ,  354 ,19 233 976 ,-,-
1991,  954 ,19 521 528 ,  341 ,16 543 693 ,-,-
1992, 1 004 ,20 586 898 ,  312 ,13 241 399 ,-,-
1993, 1 094 ,22 367 621 ,  281 ,12 520 594 ,-,-
1994, 1 147 ,23 270 355 ,  292 ,10 467 464 ,-,-
1995, 1 171 ,32 816 342 ,  301 ,9 305 694 ,-,-
1996, 1 206 ,28 641 560 ,  300 ,9 454 596 ,-,-
1997, 1 233 ,23 298 459 ,  344 ,11 344 427 ,-,-
1998, 1 259 ,21 075 577 ,  358 ,15 750 946 ,-,-
1999, 1 292 ,20 898 473 ,  516 ,15 329 132 ,-,-
2000, 1 340 ,19 975 215 ,  606 ,17 086 152 ,-,-
2001, 1 350 ,20 964 172 ,  580 ,16 905 737 ,-,-
2002, 1 275 ,20 179 482 ,  532 ,15 406 597 ,-,-
2003, 1 350 ,17 827 177 ,  826 ,14 503 052 ,-,-
2004, 1 367 ,20 516 562 ,  822 ,18 670 834 ,-,-
2005,   1 144 ,  20 706 526 ,    987 ,  18 001 466 ,   4 208 , 1 616 814 401 
2006,   1 178 ,  21 138 821 ,   1 045 ,  23 512 599 ,   4 643 , 2 350 342 564 
2007,   1 162 ,  20 228 517 ,   1 140 ,  20 659 569 ,   5 674 , 2 470 702 599 
2008,   1 156 ,  19 034 750 ,   1 514 ,  31 132 231 ,   5 665 , 2 665 434 454 
2009,   1 149 ,  19 929 836 ,   1 647 ,  31 334 447 ,   6 073 , 2 266 917 287 
2010,   1 136 ,  19 280 441 ,   1 834 ,  35 787 380 ,   6 459 , 2 571 694 304 
2011,   1 118 ,  18 826 715 ,   1 917 ,  37 439 786 ,   6 778 , 2 265 538 153 
2012,   1 112 ,  19 545 940 ,   1 998 ,  39 002 190 ,   7 109 , 2 308 507 847 
2013,   1 118 ,  20 232 069 ,   2 102 ,  45 077 509 ,   7 158 , 2 461 783 909 
2014,   1 121 ,  20 787 765 ,   2 170 ,  55 378 716 ,   7 120 , 2 274 530 479 
2015,   1 130 ,  23 529 016 ,   2 356 ,  57 148 011 ,   6 802 , 2 132 242 338 
2016,   1 137 ,  23 266 599 ,   2 483 ,  55 260 600 ,   6 265 , 1 705 225 264 
2017,   1 146 ,  25 091 232 ,   2 692 ,  68 482 526 ,   6 124 , 1 661 102 580 
2018,   1 162 ,  28 242 986 ,   2 858 ,  64 772 380 ,   5 962 , 1 368 287 463 
2019,   1 182 ,  31 451 920 ,   2 826 ,  56 479 209 ,   5 485 , 1 259 068 089 
,,,,,,
,,,,,,
"TÜİK, Kültür İstatistikleri, 2019",,,,,,
"TurkStat, Culture Statistics, 2019",,,,,,
