"Eğlence türüne göre referans ayında ev dışı eğlence faaliyetlerine katılım oranı, 2006                                                                                                                                                                                 ","","","",""
"Participation rate in going_out entertainment activities in the reference month, 2006                                ","","","",""
"[15 ve daha yukarı yaştaki nüfus-15 years old & over]","","","",""
"                                          (%)","","","",""
"","","         ","Faaliyete ","Faaliyete"
"Eğlence türü ","","Toplam","Katılan ","Katılmayan "
"Type of activity","","Total","Partipaceted","Not participated"
"Toplam-Total","","","",""
"","Gezinti yapmak, kısa turlarla gezmek vb. - Walking, going to park, funfair etc.","100","12.8","87.2"
"","Piknik yapmak - Going to picnic","100","10.3","89.7"
"","Kermese, fuara, festivale vb. gitmek - Going to fair, kermis, carnival etc. ","100","2.4","97.6"
"","Bar, disko, taverna vb. gitmek - Going to bar, disco, tavern etc.","100","2.3","97.7"
"Erkek-Male","","","",""
"","Gezinti yapmak, kısa turlarla gezmek vb .- Walking, going to park, funfair etc.","100","13.2","86.8"
"","Piknik yapmak - Going to picnic","100","10.6","89.4"
"","Kermese, fuara, festivale vb. gitmek - Going to fair, kermis, carnival etc. ","100","2.1","97.9"
"","Bar, disko, taverna vb. gitmek - Going to bar, disco, tavern etc.","100","2.9","97.1"
"Kadın-Female","","","",""
"","Gezinti yapmak, kısa turlarla gezmek vb. - Walking, going to park, funfair etc.","100","12.4","87.6"
"","Piknik yapmak - Going to picnic","100","10","90"
"","Kermese, fuara, festivale vb. gitmek - Going to fair, kermis, carnival etc. ","100","2.8","97.2"
"","Bar, disko, taverna vb. gitmek - Going to bar, disco, tavern etc.","100","1.7","98.3"
"","","","",""
"Kaynak: Zaman Kullanımı Araştırması,2006","","","Source: Time Use Survey, 2006",""
"2006 yılından itibaren bu tablo güncellenmeyecektir. ","","","         This table is not updated since 2006",""
