"Kütüphane türüne göre kütüphane, kitap ve kitap dışı materyal sayısı","","","","","","","","","","","","","","","","","",""
"The number of libraries, books and non-book materials by library type","","","","","","","","","","","","","","","","","",""
"","","","","","","Kütüphane türü-Type of libraries","","","","","","","","","","","",""
"","","Milli Kütüphane
National Library","","","","Halk kütüphaneleri
Public libraries","","","","Üniversite kütüphaneleri
University libraries","","","","Örgün ve Yaygın Eğitim Kurum Kütüphaneleri                                  Formal and non-formal education institutions libraries","","","",""
"Yıl                      Year","","Kütüphane sayısı
Number of libraries","Kitap sayısı
Number of books","Kitap dışı materyal sayısı
Number of non-book materials","","Kütüphane sayısı
Number of libraries","Kitap sayısı
Number of books","Kitap dışı materyal sayısı
Number of non-book materials","","Kütüphane sayısı
Number of libraries","Kitap sayısı
Number of books","Kitap dışı materyal sayısı
Number of non-book materials","","Kütüphane sayısı
Number of libraries","Kitap sayısı
Number of books","Kitap dışı materyal sayısı
Number of non-book materials","",""
"2001","","1"," 001 100 975"," 000 197 114",""," 000 001 350"," 012 398 913","-","","-","-","-","","-","-","-","",""
"2002","","1"," 001 117 190"," 000 197 350",""," 000 001 275"," 012 433 310"," 000 101 587",""," 000 000 199"," 006 017 934"," 000 615 194","","-","-","-","",""
"2003","","1"," 001 141 281"," 000 197 353",""," 000 001 350"," 012 684 084"," 000 114 455",""," 000 000 221"," 006 449 641"," 000 672 700","","-","-","-","",""
"2004","","1"," 001 156 715"," 000 197 577",""," 000 001 367"," 012 984 801"," 000 142 836",""," 000 000 242"," 007 087 667"," 000 713 838","","-","-","-","",""
"2005","","1"," 001 187 765"," 000 198 719",""," 000 001 144"," 012 948 460"," 000 178 999",""," 000 000 275"," 008 073 808"," 000 814 094",""," 000 018 937"," 020 257 517"," 003 021 295","",""
"2006","","1"," 001 202 087"," 000 199 043",""," 000 001 178"," 012 958 376"," 000 213 980",""," 000 000 277"," 008 043 531"," 000 895 545",""," 000 019 056"," 022 564 011"," 003 048 210","",""
"2007","","1"," 001 217 692"," 000 199 198",""," 000 001 162"," 013 198 814"," 000 260 439",""," 000 000 320"," 008 565 905"," 001 027 755",""," 000 020 746"," 029 250 590"," 003 351 949","",""
"2008","","1"," 001 226 676"," 000 199 723",""," 000 001 156"," 013 662 483"," 000 285 916",""," 000 000 416"," 009 313 197"," 001 048 396",""," 000 023 138"," 028 344 563"," 003 091 906","",""
"2009","","1"," 001 253 232"," 000 208 451",""," 000 001 149"," 014 093 896"," 000 299 928",""," 000 000 435"," 009 929 087"," 001 186 287",""," 000 022 970"," 025 709 980"," 002 829 124","",""
"2010","","000 000 000 000 001"," 001 284 639"," 000 201 557",""," 000 001 136"," 014 528 550"," 000 211 445",""," 000 000 473"," 010 837 368"," 001 013 202","","000 026 219","032 976 428"," 003 294 987","",""
"2011","","000 000 000 000 001"," 001 328 895"," 000 215 786",""," 000 001 118"," 015 621 478"," 000 216 351",""," 000 000 487"," 011 697 790"," 001 174 303","","000 027 186","033 350 391"," 003 053 365","",""
"2012","","000 000 000 000 001"," 001 383 181"," 000 224 334",""," 000 001 112"," 015 785 280"," 000 139 501",""," 000 000 512"," 012 584 612"," 001 359 440","","000 027 449","027 934 966"," 002 290 329","",""
"2013","","000 000 000 000 001"," 001 444 021"," 000 137 549",""," 000 001 118"," 016 099 993"," 000 137 352",""," 000 000 533"," 013 408 159"," 001 045 236","","000 030 856","031 282 455"," 002 181 809","",""
"2014","","000 000 000 000 001"," 001 545 702"," 000 144 110",""," 000 001 121"," 017 111 825"," 000 139 787",""," 000 000 559"," 014 365 326"," 001 113 001","","000 027 948","027 861 210","001 830 866","",""
"2015","","000 000 000 000 001"," 001 261 696"," 000 147 795",""," 000 001 130"," 018 097 101"," 000 140 613",""," 000 000 555"," 015 256 746"," 001 147 228","","000 027 836","032 328 001","001 934 976","",""
"2016","","000 000 000 000 001"," 001 298 952"," 000 155 622",""," 000 001 137"," 018 828 188"," 000 136 773",""," 000 000 552"," 015 236 013"," 001 178 267","","000 027 280","027 430 168","001 049 863","",""
"2017","","000 000 000 000 001"," 001 410 489"," 000 184 316",""," 000 001 146"," 019 993 613"," 000 133 491",""," 000 000 564"," 016 385 532"," 001 419 154","","000 026 415","026 707 127","000 899 312","",""
"2018","","000 000 000 000 001"," 001 463 488"," 000 197 216",""," 000 001 162"," 019 966 573"," 000 130 204",""," 000 000 598"," 017 600 015"," 001 233 377","","000 029 690","030 263 384","000 932 063","",""
"2019","","1","001 404 132"," 000 185 527",""," 000 001 182"," 020 742 540"," 000 132 052",""," 000 000 610"," 017 945 383"," 001 280 374","","000 030 618","032 006 784","000 968 278","",""
"2020","","1","001 475 337"," 000 188 902",""," 000 001 213"," 021 125 016"," 000 128 759",""," 000 000 606","000 018 553 121","000 001 296 305","","000 000 032 158","000 034 454 621","001 003 761","",""
"2021","","1","001 545 352"," 000 195 568",""," 000 001 252"," 022 359 038"," 000 126 281",""," 000 000 612","000 020 174 856","000 001 347 218","","000 000 032 690","000 034 325 612","000 944 422","",""
"2022","","1","000 001 632 589","000 000 200 453","","000 000 001 257","000 023 091 168","000 000 129 109",""," 000 000 625","000 021 098 691","000 001 527 650","","000 000 047 654","000 043 971 809","001 030 622","",""
"TÜİK, Kütüphane İstatistikleri, 2022","","","","","","","","","","","","","","","","","",""
"TurkStat, Library Statistics, 2022","","","","","","","","","","","","","","","","","",""
"Kitap dışı materyal sayısı afiş, atlas, bilgisayar, zeka oyunları vb. kapsamaktadır.","","","","","","","","","","","","","","","","","",""
"The number of non-book materials includes posters, atlases, computers, brain teasers, etc. ","","","","","","","","","","","","","","","","","",""
"Kaynak: Kütüphaneler ve Yayımlar Genel Müdürlüğü, Üniversite rektörlükleri ve Milli Eğitim Bakanlığı","","","","","","","","","","","","","","","","","",""
"Source : General Directorate of Libraries and Publications, rectorates of Universities and Ministry of National Education","","","","","","","","","","","","","","","","","",""
" - Bilgi yoktur.","","","","","","","","","","","","","","","","","",""
" - Denotes magnitude null.","","","","","","","","","","","","","","","","","",""
