"Cinsiyet, yaş grubu ve ayrıntılı nedenlere göre yaygın eğitime katılım, 2007-2022","","","","","","","","","","","","","",""
"Participation in non-formal education by sex, age group and detailed reasons, 2007-2022","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","(%)"
"","İşini daha
iyi yapmak
To do job
better and
improve
career
prospects","Günlük hayatta
gerekli bilgi
ve becerileri
kazanmak
To get
knowledge/
skills useful in
everyday life","İlgisini çeken
bir konu
hakkında bilgi
edinmek
To increase
knowledge/skills
on an interesting
subject","Katılmaya
mecbur
olmak
To be obliged
to participate","Sertifika
almak
To obtain
certificate","Kariyer hedefini geliştirmek
To improve career prospects","Gönüllü işlerde daha verimli olabilmek
To do voluntary work better","İşyerindeki organizasyonel ve/ya teknolojik yapıdaki değişiklikler
Because of organisational and/or technological changes at work","Yeni
insanlarla
tanışmak/
eğlence
To meet
new people
or just
for fun","Sağlıkla ilgili nedenlerle
For health reasons","Bir iş bulma
ihtimalinin
artması
To increase
possibilities
of getting a job
or changing a 
job/profession","İşini
kaybetme
ihtimalinin
azalması
To be less
likely to
lose job","Kendi işini
kurmak
To start
own
business","Diğer
Other"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"2022","","","","","","","","","","","","","",""
"Toplam-Total","60.7","_","53.8","47.1","42.2","32.3","17.3","16.6","13.2","10.7","9.6","9.2","4.7","-"
"Cinsiyet-Sex","","","","","","","","","","","","","",""
"     Erkek-Male","69.1","_","47.8","53.9","39.8","33.4","17.3","19.1","10.1","10.9","10.1","11.3","4.8","-"
"     Kadın-Female","49.5","_","61.8","38.0","45.4","30.9","17.3","13.3","17.3","10.4","9.0","6.4","4.6","-"
"Yaş grubu-Age group","","","","","","","","","","","","","",""
"     18-24","32.0","_","64.9","33.6","48.5","21.0","14.5","8.1","18.3","9.5","14.3","8.5","8.5","-"
"     25-34","63.9","_","54.0","47.2","42.5","37.5","20.4","17.5","15.4","10.5","13.2","10.0","5.9","-"
"     35-54","69.4","_","49.2","52.5","40.7","35.1","16.4","19.2","9.7","11.7","6.8","9.6","3.1","-"
"     55-64","52.0","_","53.1","44.1","41.1","14.7","15.6","13.1","14.0","8.3","2.1","4.7","1.4","-"
"     65+","33.2","_","86.3","12.1","20.4","1.5","13.8","13.0","24.2","1.8","0.7","0.0","0.0","-"
"","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"Toplam-Total","61.9","49.8","47.1","49.9","42.1","40.5","14.1","26.3","14.1","8.4","16.3","18.9","8.0","1.1"
"Cinsiyet-Sex","","","","","","","","","","","","","",""
"     Erkek-Male","69.8","47.8","42.2","58.1","43.7","40.0","13.2","32.0","11.8","8.7","15.6","22.4","7.2","0.6"
"     Kadın-Female","50.2","52.7","54.3","37.7","39.7","41.2","15.5","17.8","17.6","7.9","17.4","13.7","9.1","1.8"
"Yaş grubu-Age group","","","","","","","","","","","","","",""
"     18-24","46.2","47.1","50.1","30.7","36.5","56.2","11.6","12.1","18.0","5.6","30.8","11.9","14.1","2.4"
"     25-34","66.5","45.5","44.6","55.0","45.3","43.6","13.8","28.7","13.2","6.8","17.2","23.4","6.7","0.3"
"     35-54","68.1","53.4","45.6","57.7","43.6","33.3","14.9","32.0","11.8","11.3","10.5","19.8","6.7","0.9"
"     55-64","41.4","58.4","62.4","27.0","31.2","20.3","19.5","19.9","21.9","5.9","4.6","9.0","5.1","2.7"
"     65+","25.3","60.5","72.1","1.8","19.2","16.3","17.1","0.8","35.3","2.7","0.8","3.8","1.3","6.0"
"","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"Toplam-Total","48.2","26.9","26.4","19.2","21.7","-","-","-","5.6","-","13.1","4.0","2.6","-"
"Cinsiyet-Sex","","","","","","","","","","","","","",""
"     Erkek-Male","59.9","21.1","19.0","24.8","24.0","-","-","-","3.8","-","13.0","5.4","2.9","-"
"     Kadın-Female","32.7","34.7","36.3","11.7","18.7","-","-","-","7.9","-","13.3","2.2","2.2","-"
"Yaş grubu-Age group","","","","","","","","","","","","","",""
"     18-24","37.9","28.8","24.6","10.0","25.3","-","-","-","5.7","-","27.5","2.9","4.4","-"
"     25-34","55.9","22.7","21.9","22.1","23.6","-","-","-","4.8","-","13.1","4.9","2.3","-"
"     35-54","50.5","29.1","29.3","24.0","18.5","-","-","-","5.8","-","4.8","4.1","2.0","-"
"     55-64","27.1","31.1","48.0","9.0","14.8","-","-","-","8.7","-","2.2","1.9","0.6","-"
"     65+","23.5","33.7","52.6","4.0","5.3","-","-","-","11.4","-","0.0","0.0","0.0","-"
"","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"Toplam-Total","50.5","35.1","27.3","20.7","27.6","-","-","-","12.1","-","25.0","8.5","5.7","11.2"
"Cinsiyet-Sex","","","","","","","","","","","","","",""
"     Erkek-Male","60.8","28.9","19.8","24.9","28.3","-","-","-","10.1","-","26.1","11.2","6.3","10.6"
"     Kadın-Female","34.4","44.8","39.0","14.1","26.5","-","-","-","15.2","-","23.3","4.2","4.6","12.1"
"Yaş grubu-Age group","","","","","","","","","","","","","",""
"     18-24","32.6","39.4","25.3","9.3","31.5","-","-","-","13.0","-","48.4","4.4","8.7","26.4"
"     25-34","61.0","32.0","22.2","27.1","29.5","-","-","-","10.9","-","20.4","12.5","4.2","4.1"
"     35-54","58.5","33.2","31.9","26.9","23.1","-","-","-","12.3","-","9.0","8.9","4.5","4.1"
"     55-64","46.8","40.0","46.3","9.5","18.5","-","-","-","11.6","-","2.5","3.3","3.9","3.2"
"     65+","30.2","43.3","54.8","13.8","9.7","-","-","-","17.6","-","-","3.3","-","3.2"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"TÜİK, Yetişkin Eğitimi Araştırması, 2007-2022","","","","","","","","","","","","","",""
"TurkStat, Adult Education Survey, 2007-2022","","","","","","","","","","","","","",""
"- Bilgi yoktur.","","","","","","","","","","","","","",""
"- Denotes magnitude null.","","","","","","","","","","","","","",""
"(1) 2022 yılı uygulamasında Eurostat metodolojisi gereği bir sonraki kategori ile birleştirilmiştir","","","","","","","","","","","","","",""
"(1) In accordance with the Eurostat methodology, it was combined with the next category in 2022 implementation ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
