"Opera ve bale salonu, koltuk, oynanan eser ve seyirci sayısı, 2000-2022",,,,,,,,,
"The number of opera and ballet halls, seats, number of shows and audiences, 2000-2022",,,,,,,,,
,,,"Oynanan eser sayısı
The number of shows",,,,"Seyirci sayısı
The number of audiences",,
"Sezon yılı
Season year","Opera ve bale salonu sayısı
The number of opera and ballet halls","Koltuk sayısı
The number of seats","Toplam
Total","Yerli eser
National show","Yabancı eser
Foreign show",,"Toplam
Total","Yerli eser
National show","Yabancı eser
Foreign show"
1999/'00,6, 3 474,94,24,70,, 258 547, 110 410, 148 137
2000/'01,  6, 4 391,  95,  23,  72,, 207 360, 47 839, 159 521
2001/'02,5, 3 897,98,20,78,, 165 154, 18 477, 146 677
2002/'03,5, 3 850,135,45,90,, 273 271, 100 054, 173 217
2003/'04,5, 4 264,144,58,86,, 457 717, 31 666, 426 051
2004/'05,5, 3 850,199,70,129,, 252 076, 76 046, 176 030
2005/'06,5, 3 860,189,85,104,, 245 448, 89 540, 155 908
2006/'07,7, 3 834,84,33,51,, 451 271, 121 924, 329 347
2007/'08,  10, 5 879,  203,  143,  60,, 325 364, 120 997, 204 367
2008/'09,  7, 4 345,  143,  74,  69,, 181 605, 105 235, 76 370
2009/'10,  12, 6 967,  251,  123,  128,, 324 007, 113 590, 210 417
2010/'11,  9, 5 077,  208,  83,  125,, 310 623, 128 984, 181 639
2011/'12,  14, 7 799,  228,  92,  136,, 333 707, 169 043, 164 664
2012/'13,  12, 6 776,  234,  122,  112,, 375 223, 220 172, 155 051
2013/'14,  15, 10 288,  188,  98,  90,, 400 420, 185 045, 215 375
2014/'15,  11, 6 398,  190,  75,  115,, 337 007, 143 981, 193 026
2015/'16,  11, 6 398,  170,  103,  67,, 272 578, 153 206, 119 372
2016/'17,11, 6 398,  198,  125,  73,, 281 069, 115 469, 165 600
2017/'18,11, 5 970,  202,  94,  108,, 293 002, 119 257, 173 745
2018/'19,13, 11 672,  179,  84,  95,, 322 189, 146 168, 176 021
2019/'20,13, 11 672,  165,  89,  76,, 256 063, 121 658, 134 405
2020/'21,14, 8 949,  98,  47,  51,, 14 032, 6 682, 7 350
2021/'22,14, 8 925,  231,  123,  108,, 211 233, 83 517, 127 716
"TÜİK, Sinema ve Gösteri Sanatları İstatistikleri",,,,,,,,,
"TurkStat, Cinema and Performing Arts Statistics",,,,,,,,,
Kaynak: Devlet Opera ve Bale Genel Müdürlüğü,,,,,,,,,
Source:  Directorate General of State Opera and Ballet,,,,,,,,,
