"Faaliyet türüne göre ortalama faaliyet süresi oranı, 2006                                                                                                                                                                                                                                                                                ",,,
"Percentage of the duration of activities by type of activity, 2006          ",,,
[15 ve daha yukarı yaştaki nüfus-15 years old & over],,,
                                     (%),,,
,,,
Faaliyet türü,Toplam,Erkek,Kadın
Type of activity ,Total,Male,Female
     Toplam-Total,100,100,100
Kültürel faaliyetler - Cultural activities,10.1,10.4,9.7
İnternet ve internet dışı bilgisayar kullanımı - Internet and computer use,0.5,0.9,0.2
Eğlence - Entertainment,1,1.4,0.6
Yemek ve diğer kişisel bakım - Eating and other personal care,11.1,11.4,10.9
Çalışma ve iş arama - Employment,11.2,18.1,4.6
Eğitim - Study,1.4,1.5,1.3
Hanehalkı ve ev bakımı - Household and family care,12.8,3.6,21.5
Gönüllü işler ve toplantılar - Voluntary work and meetings,3.2,2.6,3.8
Sosyal yaşam - Social life,7.3,6.7,7.8
Spor ve doğa sporları - Sports and outdoor activities,0.5,0.7,0.2
Hobiler ve oyunlar(1) - Hobbies and games (1),0.5,0.9,0.1
Yolculuk ve belirlenmemiş zaman kullanımı - Travel,4.8,6.5,3.3
Uyku - Sleep,35.6,35.3,35.8
,,,
"Kaynak: Zaman Kullanımı Araştırması,2006",,"Source: Time Use Survey, 2006",
Not. Kitle iletişim araçları kültür içinde gösterilmiştir.,Note. Cultural activities covers ‘mass media’,,
(1) Sanat ve bilgisayar/internet kullanımı hariç.,(1) Art & computer & internet use excluded.,,
2006 yılından itibaren bu tablo güncellenmeyecektir. ,,This table is not updated since 2006,
