"Sinema, gösterilen film ve seyirci sayısı, 2000-2022",,,,,,,,,,,,,,
"The number of movie halls, films shown and audiences, 2000-2022",,,,,,,,,,,,,,
 ,"Sinema salonu sayısı
The number of movie halls",,,"Gösterilen film sayısı
The number of films shown",,,,"Seyirci sayısı
The number of audiences",,,,,,
"Yıl 
Year",,Koltuk sayısı  The number of seats,,"Toplam
Total","Yerli film
National film","Yabancı film
Foreign film",,"Toplam
Total","Yerli film
National film","Yabancı film
Foreign film",,,,
2000,  606, 200 853,, 24 096, 4 733, 19 363,,17 086 152,2 899 103,14 187 049,,,,
2001,  580, 139 664,, 25 608, 5 042, 20 566,,16 905 737,3 289 438,13 616 299,,,,
2002,  532, 134 045,, 22 529, 3 302, 19 227,,15 406 597,2 079 671,13 326 926,,,,
2003,  826, 141 839,, 21 254, 3 351, 17 903,,14 503 052,2 923 286,11 579 766,,,,
2004,  822, 145 298,, 26 398, 4 989, 21 409,,18 670 834,6 657 156,12 013 678,,,,
2005,  987, 152 234,, 25 076,5671, 19 405,,18 001 466,6 795 791,11 205 675,,,,
2006, 1 045, 153 736,, 25 297, 6 829, 18 468,,23 512 599,10 838 617,12 673 982,,,,
2007, 1 140, 161 923,, 28 733, 8 340, 20 393,,20 659 569,7 712 626,12 946 943,,,,
2008, 1 514, 212 155,, 32 003, 9 455, 22 548,,31 132 231,16 166 153,14 966 078,,,,
2009, 1 647, 229 822,, 34 947, 13 275, 21 672,,31 334 447,15 220 249,16 114 198,,,,
2010, 1 834, 249 297,, 35 999, 12 885, 23 114,,35 787 380,17 996 023,17 791 357,,,,
2011, 1 917, 257 604,, 37 892, 13 027, 24 865,,37 439 786,17 954 808,19 484 978,,,,
2012, 1 998, 263 301,, 37 546, 12 072, 25 474,,39 002 190,18 235 611,20 766 579,,,,
2013, 2 102, 293 025,, 40 406, 15 545, 24 861,,45 077 509,24 963 870,20 113 639,,,,
2014, 2 170, 276 318,, 41 517, 16 999, 24 518,,55 378 716,30 994 840,24 383 876,,,,
2015, 2 356, 297 610,, 49 151, 21 494, 27 657,,57 148 011,31 661 600,25 486 411,,,,
2016, 2 483, 307 456,, 53 443, 22 642, 30 801,,55 260 600,28 834 409,26 426 191,,,,
2017, 2 692, 328 845,, 58 214, 25 275, 32 939,,68 482 526,37 904 091,30 578 435,,,,
2018, 2 858, 342 813,, 65 501, 30 145, 35 356,,64 772 380,39 195 881,25 576 499,,,,
2019, 2 826, 337 914,, 68 386, 29 064, 39 322,,56 479 209,32 331 764,24 147 445,,,,
2020, 2 698, 317 763,, 25 960, 10 978, 14 982,,17 226 952,13 255 849,3 971 103,,,,
2021, 2 398, 285 130,, 26 483, 9 981, 16 502,,12 418 777,3 264 580,9 154 197,,,,
2022, 2 366, 284 204,, 55 056, 25 869, 29 187,,35 754 644,18 834 898,16 919 746,,,,
 , , , , , , , , , , ,,,,
"TÜİK, Sinema ve Gösteri Sanatları İstatistikleri",,,,,,,,,,,,,,
"TurkStat, Cinema and Performing Arts Statistics",,,,,,,,,,,,,,




