"İl, eğitim seviyesi ve muhtemel eğitim süresine göre cinsiyet eşitliği endeksi, 2018-2022",,,,,,,,,,,,,,,,,,
"Gender parity index by school life expectancy, province and level of education, 2018-2022",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"İlkokul - Yükseköğretim 
Primary- Tertiary
ISCED (1-8) ",,,,,,"İlkokul-Ortaöğretim
Primary to Upper  secondary 
ISCED (1-3) ",,,,,,"Okul öncesi 
(Pre- Primary)
ISCED 0",,,,
"İl kodu
Province code","İl adı
Province name",2022,2021,2020,2019,2018,,2022,2021,2020,2019,2018,,2022,2021,2020,2019,2018
,TÜRKİYE ,1.01,1.01,0.99,0.98,0.97,,0.99,0.99,0.98,0.99,0.98,,0.99,0.98,0.97,0.98,0.97
1,  Adana,1.00,0.99,0.98,0.97,0.96,,0.99,0.98,0.98,0.98,0.97,,1.00,0.97,0.94,0.96,0.96
2,  Adıyaman,0.95,0.92,0.92,0.90,0.90,,0.97,0.96,0.97,0.97,0.97,,0.96,0.96,0.97,0.99,0.96
3,  Afyon,1.02,1.01,0.99,0.97,0.95,,0.98,1.00,0.98,0.98,0.98,,0.97,0.98,0.99,0.97,0.96
4,  Ağrı,0.97,0.96,0.95,0.94,0.93,,0.97,0.98,0.98,0.99,0.99,,0.99,0.99,0.98,1.01,0.95
5,  Amasya,1.02,1.00,0.99,0.96,0.96,,0.99,1.00,0.98,1.00,1.00,,0.99,1.03,0.99,0.98,0.99
6,  Ankara,1.04,1.03,1.02,1.00,0.99,,1.01,1.01,1.00,1.01,1.00,,0.98,0.98,0.95,0.97,0.97
7,  Antalya,1.04,1.04,1.03,1.02,1.00,,0.99,1.00,1.00,0.99,0.99,,0.98,0.98,1.00,0.98,0.98
8,  Artvin,1.05,1.03,1.02,1.00,0.99,,1.01,1.02,1.02,1.00,1.00,,1.02,0.99,0.96,1.00,0.98
9,  Aydın,1.03,1.03,1.01,1.00,0.98,,0.99,0.99,0.98,0.98,0.98,,0.97,0.98,0.98,0.96,0.98
10,  Balıkesir,1.03,1.03,1.02,1.01,0.99,,0.99,0.99,0.99,0.99,0.98,,0.99,0.98,0.98,0.99,0.99
11,  Bilecik,1.06,1.07,1.02,1.00,1.03,,1.01,1.02,1.00,0.99,0.99,,1.00,1.02,0.99,1.00,0.99
12,  Bingöl,0.95,0.92,0.90,0.89,0.89,,1.00,0.98,0.97,0.98,0.98,,1.01,0.99,1.01,0.97,0.98
13,  Bitlis,0.90,0.87,0.85,0.84,0.83,,0.94,0.94,0.92,0.93,0.93,,0.98,1.00,1.01,0.99,0.97
14,  Bolu,1.02,1.02,1.01,0.99,0.97,,0.96,0.97,0.96,0.95,0.95,,0.99,0.99,0.97,0.99,0.98
15,  Burdur,1.03,1.04,1.00,0.99,0.96,,0.99,1.00,0.98,0.99,0.97,,1.02,1.01,0.99,0.99,1.00
16,  Bursa,1.03,1.03,1.02,1.01,0.99,,1.00,1.01,1.00,1.00,1.00,,0.98,0.97,0.93,0.96,0.96
17,  Çanakkale,1.07,1.08,1.05,1.03,1.04,,1.01,1.01,0.99,1.00,1.00,,1.00,0.99,0.99,0.97,0.99
18,  Çankırı,1.05,1.04,1.01,1.00,0.99,,1.01,1.01,0.99,0.99,1.00,,0.98,0.97,1.03,0.94,0.95
19,  Çorum,1.00,0.99,0.98,0.98,0.96,,0.99,0.99,0.98,0.99,1.00,,1.00,0.99,0.97,1.00,1.02
20,  Denizli,1.03,1.03,1.02,1.00,0.99,,0.99,1.00,0.99,0.99,0.99,,0.98,0.99,0.98,0.98,0.97
21,  Diyarbakır,0.97,0.94,0.93,0.92,0.91,,0.97,0.97,0.96,0.97,0.96,,0.99,0.98,0.99,0.99,0.98
22,  Edirne,1.05,1.07,1.05,1.04,1.03,,0.99,1.00,0.99,0.99,1.00,,0.98,1.01,1.00,1.00,0.99
23,  Elazığ,0.97,0.95,0.94,0.93,0.92,,1.00,1.00,0.98,0.98,0.98,,1.00,1.00,1.00,0.98,0.95
24,  Erzincan,1.00,0.98,0.97,0.95,0.95,,1.00,1.00,0.98,0.99,0.99,,0.97,0.98,1.04,0.98,0.99
25,  Erzurum,0.94,0.91,0.90,0.89,0.89,,0.98,0.97,0.96,0.98,0.98,,1.00,0.98,0.96,0.96,0.99
26,  Eskişehir,1.04,1.03,1.02,1.01,1.00,,1.01,1.02,1.01,1.01,1.00,,0.98,0.98,0.98,0.97,0.98
27,  Gaziantep,0.99,0.97,0.96,0.95,0.94,,0.99,0.98,0.98,0.98,0.98,,0.99,0.97,0.98,0.97,0.96
28,  Giresun,1.02,1.01,1.00,0.99,0.97,,1.00,1.01,0.99,0.99,0.99,,1.00,0.97,0.97,0.98,0.97
29,  Gümüşhane,0.98,0.97,0.96,0.93,0.93,,0.99,0.99,0.99,0.99,1.01,,0.93,0.96,0.95,0.89,0.97
30,  Hakkari,0.96,0.89,0.88,0.88,0.87,,0.99,0.95,0.95,0.97,0.96,,1.01,0.97,0.96,1.02,0.99
31,  Hatay,1.00,0.98,0.97,0.96,0.95,,0.99,0.98,0.98,0.98,0.97,,0.96,0.98,0.99,0.97,0.97
32,  Isparta,1.00,1.01,1.00,0.98,0.97,,0.98,1.00,0.99,0.99,0.99,,1.00,0.99,0.98,0.98,0.99
33,  Mersin,1.01,1.00,0.99,0.98,0.97,,0.99,0.99,0.98,0.98,0.98,,0.98,0.97,0.98,0.98,0.98
34,  İstanbul,1.03,1.04,1.02,1.01,0.99,,0.99,1.00,0.99,1.00,0.99,,0.97,0.97,0.94,0.96,0.95
35,  İzmir,1.06,1.05,1.04,1.02,1.01,,1.01,1.01,1.00,1.00,0.99,,0.98,0.98,0.95,0.98,0.98
36,  Kars,1.01,1.00,0.99,0.99,0.98,,0.97,0.98,0.98,1.00,1.00,,1.00,0.97,1.00,0.97,0.98
37,  Kastamonu,1.04,1.03,1.03,1.01,0.98,,1.01,1.01,1.02,1.02,1.01,,0.99,1.00,1.00,0.96,0.97
