"Cinsiyet, yaş grubu, eğitim ve işgücü durumuna göre örgün ve yaygın eğitime katılım, 2007-2022",,,,,,,,,,,,,,,,,,,,
"Participation in formal and non-formal education by sex, age group, education attained and labour status, 2007-2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,(%)
,,"Örgün eğitime katılım
Participation in formal education",,,,,"Yaygın eğitime katılım
Participation in non-formal education",,,,,"Örgün veya yaygın eğitime katılım
Participation in formal or non-formal education",,,,,"Örgün ve yaygın eğitime katılım
Participation in formal and non-formal education",,,
,,2007,2012,2016,2022,,2007,2012,2016,2022,,2007,2012,2016,2022,,2007,2012,2016,2022
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Toplam-Total,,5.8,8.3,9.4,10.5,,13.9,15.4,16.8,15.6,,17.1,20.4,22.7,22.9,,2.6,3.3,3.5,3.2
,,,,,,,,,,,,,,,,,,,,
Cinsiyet-Sex,,,,,,,,,,,,,,,,,,,,
     Erkek-Male,,7.2,9.8,10.9,10.7,,17.3,17.5,19.8,17.9,,21.4,23.7,26.6,25.5,,3.2,3.6,4.1,3.1
     Kadın-Female,,4.5,6.8,8.0,10.2,,10.5,13.4,13.8,13.5,,13.1,17.2,18.9,20.3,,2.0,3.0,2.9,3.3
,,,,,,,,,,,,,,,,,,,,
Yaş grubu-Age group,,,,,,,,,,,,,,,,,,,,
     18-24,,24.5,33.9,39.4,39.5,,26.0,26.7,23.8,22.4,,39.7,46.6,48.9,51.7,,10.7,14.1,14.3,10.3
     25-34,,5.5,9.6,11.6,15.6,,18.0,20.9,24.0,23.1,,21.1,26.9,31.2,33.2,,2.4,3.5,4.3,5.4
     35-54,,0.8,2.0,2.9,5.0,,11.6,14.4,18.0,17.9,,12.0,15.6,19.7,21.1,,0.4,0.8,1.2,1.9
     55-64,,0.1,0.2,0.1,0.6,,4.4,5.4,6.4,5.7,,4.4,5.6,6.5,6.1,,0.0,0.0,0.0,0.3
     65+,,0.0,0.0,0.0,0.1,,1.2,1.4,1.5,1.6,,1.2,1.4,1.5,1.6,,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,
Eğitim Durumu-Education Attained,,,,,,,,,,,,,,,,,,,,
"     Bir okul bitirmedi
     Not completed school",,0.3,0.7,0.0,0.1,,2.1,3.3,2.4,1.5,,2.3,3.9,2.4,1.6,,0.1,0.1,0.0,0.0
"     İlkokul
     Primary school",,0.4,0.9,0.9,0.5,,6.4,8.0,8.7,6.1,,6.7,8.7,9.3,6.5,,0.1,0.2,0.2,0.1
"     İlköğretim ve ortaokul
     Primary education and lower secondary school",,5.8,12.4,13.5,10.8,,13.8,14.4,14.6,11.9,,18.1,23.2,24.6,20.6,,1.5,3.6,3.4,2.1
"     Ortaöğretim
     Upper secondary education",,-,21.4,23.7,19.0,,-,26.4,25.8,20.0,,-,38.7,40.4,33.9,,-,9.1,9.1,5.1
"     Yükseköğretim
     Higher education",,12.1,16.3,16.4,18.9,,39.0,40.0,40.5,32.9,,44.9,48.4,49.5,44.3,,6.3,7.9,7.4,7.5
,,,,,,,,,,,,,,,,,,,,
İşgücü Durumu-Labour Status,,,,,,,,,,,,,,,,,,,,
"     Bir işte çalışıyor
     Employed",,5.2,7.7,9.1,10.9,,20.1,21.1,27.5,26.5,,23.1,26.0,32.8,33.2,,2.3,2.9,3.8,4.2
"     İşsiz
     Unemployed",,10.3,13.1,13.5,19.3,,27.6,19.2,17.7,14.7,,31.5,26.6,26.1,29.8,,6.4,5.8,5.1,4.2
,,,,,,,,,,,,,,,,,,,,
"TÜİK, Yetişkin Eğitimi Araştırması, 2007-2022",,,,,,,,,,,,,,,,,,,,
"TurkStat, Adult Education Survey, 2007-2022",,,,,,,,,,,,,,,,,,,,
- Bilgi yoktur.,,,,,,,,,,,,,,,,,,,,
- Denotes magnitude null.,,,,,,,,,,,,,,,,,,,,
