Kütüphane türüne göre kütüphaneden yararlanan kişi ve kayıtlı üye sayısı,,,,,,,,,
Number of registered members and persons benefiting from the library by type of libraries ,,,,,,,,,
,,Kütüphane türü-Type of libraries,,,,,,,
,,"Milli Kütüphane
National Library",,,"Halk kütüphaneleri
Public libraries",,,"Üniversite kütüphaneleri
University libraries",
Yıl          Year,,"Kütüphaneden yararlanan kişi sayısı
Number of people benefiting from the library","Kütüphaneye kayıtlı üye sayısı(1)
Number of registered members of the library(1)",,"Kütüphaneden yararlanan kişi sayısı
Number of people benefiting from the library","Kütüphaneye kayıtlı üye sayısı
 Number of registered members of the library",,"Kütüphaneden yararlanan kişi sayısı
Number of people benefiting from the library ","Kütüphaneye kayıtlı üye sayısı
 Number of registered members of the library"
2001,,  231 257,-,, 20 964 172,  508 133,,-,-
2002,,  297 349,  21 239,, 20 179 482,  424 493,,-,  717 256
2003,,  391 413,  16 132,, 17 827 177,  422 760,,-,  650 365
2004,,  662 202,  14 644,, 20 516 562,  418 067,,-,  905 732
2005,,  445 702,  12 575,, 20 706 526,  426 351,,-, 1 158 912
2006,,  303 384,  8 400,, 21 138 821,  485 216,,-, 1 119 258
2007,,  408 690,  14 632,, 20 228 517,  493 596,,-, 1 104 177
2008,,  468 301,  13 625,, 19 034 750,  503 961,,-, 1 273 418
2009,,  695 782,  20 334,, 19 929 836,  591 661,,-, 1 520 361
2010,,   771 331,   22 929,,19 280 441, 675 620,,-, 1 968 450
2011,,   664 178,   29 415,,18 826 715, 753 378,,-,2 029 429
2012,,   693 403,   24 550,,19 545 940, 885 282,,-,2 190 633
2013,,   651 336,   24 737,,20 232 069,1 025 846,,-,2 896 211
2014,,   555 859,   28 356,,20 787 765,1 209 766,,-,3 870 112
2015,,   524 129,   36 220,,23 529 016,1 367 139,,-,3 820 761
2016,,   636 488,   26 996,,23 266 599,1 697 090,,-,3 810 634
2017,,   629 905,   26 478,,25 091 232,2 201 039,,-,3 814 500
2018,,   633 999,   23 747,,28 242 986,2 840 504,,-,3 912 306
2019,,711 523,   137 014,,31 451 920,  3 955 908,,-,3 568 073
2020,,202 144,   125 935,,12 962 119,4 437 954,,-,3 560 694
2021,,179 726,   136 120,,15 683 134,4 898 744,,-,3 641 661
2022,,  405 584,  135 975,, 26 788 378, 5 568 283,,-,3 986 831
"TÜİK, Kütüphane İstatistikleri, 2022",,,,,,,,,
"TurkStat, Library Statistics, 2022",,,,,,,,,
Kaynak: Kütüphaneler ve Yayımlar Genel Müdürlüğü ile Üniversite rektörlükleri,,,,,,,,,
Source: General Directorate of Libraries and Publications and Rectorates of Universities,,,,,,,,,
"(1) Kayıtlı üye sayısı, 2019 yılı itibarıyla aktif kayıtlı üye sayısını ifade eder. Önceki yıllarda ise o yılda yeni kayıtlı üye sayısını ifade etmektedir. ",,,,,,,,,
"(1) Refers to the number of active registered members as of 2019. In previous years, it represents the number of newly registered members in that year.",,,,,,,,,
 - Bilgi yoktur.,,,,,,,,,
 - Denotes magnitude null.,,,,,,,,,
