"İllere ve cinsiyete göre muhtemel eğitim süresi, ISCED 0 (okul öncesi eğitim), 2018-2022",,,,,,,,,,,,,,,,,,,,
"School life expectancy by sex and provinces, ISCED 0 (pre-primary education), 2018-2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2022,,,,2021,,,,2020,,,,2019,,,,2018,,
İl kodu,İl adı,Toplam,Erkek,Kadın,,Toplam,Erkek,Kadın,,Toplam,Erkek,Kadın,,Toplam,Erkek,Kadın,,Toplam,Erkek,Kadın
Province code,Province name,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female
,TÜRKİYE ,1.6,1.6,1.6,,1.4,1.4,1.3,,0.8,0.8,0.8,,1.2,1.2,1.2,,1.2,1.2,1.2
1,  Adana,1.4,1.4,1.4,,1.2,1.2,1.2,,0.7,0.7,0.7,,1.1,1.1,1.1,,1.1,1.1,1.1
2,  Adıyaman,1.2,1.3,1.2,,1.3,1.3,1.3,,0.8,0.8,0.8,,1.0,1.0,1.0,,1.0,1.1,1.0
3,  Afyon,1.5,1.6,1.5,,1.4,1.4,1.3,,0.9,0.9,0.9,,1.2,1.2,1.2,,1.2,1.2,1.2
4,  Ağrı,1.3,1.3,1.3,,1.1,1.1,1.1,,0.8,0.8,0.8,,0.9,0.9,0.9,,0.9,1.0,0.9
5,  Amasya,1.9,1.9,1.9,,1.8,1.8,1.8,,1.3,1.3,1.2,,1.7,1.7,1.7,,1.6,1.6,1.6
6,  Ankara,1.7,1.7,1.7,,1.4,1.4,1.4,,0.6,0.7,0.6,,1.3,1.3,1.3,,1.2,1.2,1.2
7,  Antalya,2.0,2.0,2.0,,1.7,1.7,1.7,,1.1,1.1,1.1,,1.6,1.6,1.6,,1.5,1.5,1.5
8,  Artvin,2.1,2.1,2.1,,1.7,1.7,1.7,,1.3,1.3,1.2,,1.6,1.6,1.6,,1.6,1.6,1.6
9,  Aydın,1.9,1.9,1.9,,1.7,1.7,1.7,,0.9,0.9,0.9,,1.4,1.5,1.4,,1.4,1.4,1.3
10,  Balıkesir,2.0,2.0,2.0,,1.7,1.7,1.7,,1.1,1.1,1.1,,1.6,1.6,1.6,,1.6,1.6,1.5
11,  Bilecik,1.8,1.8,1.8,,1.6,1.5,1.6,,1.1,1.1,1.1,,1.5,1.5,1.5,,1.6,1.6,1.5
12,  Bingöl,1.4,1.4,1.4,,1.2,1.2,1.2,,0.9,0.9,0.9,,1.0,1.0,1.0,,1.0,1.0,1.0
13,  Bitlis,1.5,1.6,1.5,,1.2,1.2,1.2,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.1,1.1,1.1
14,  Bolu,1.8,1.8,1.8,,1.6,1.6,1.6,,0.7,0.7,0.7,,1.5,1.5,1.5,,1.3,1.3,1.3
15,  Burdur,2.3,2.3,2.3,,1.9,1.9,1.9,,2.5,2.5,2.5,,1.7,1.7,1.7,,1.8,1.8,1.8
16,  Bursa,1.6,1.6,1.5,,1.3,1.4,1.3,,0.7,0.8,0.7,,1.3,1.3,1.2,,1.2,1.3,1.2
17,  Çanakkale,2.1,2.1,2.1,,1.8,1.8,1.8,,1.1,1.1,1.0,,1.7,1.7,1.6,,1.6,1.6,1.6
18,  Çankırı,1.7,1.7,1.7,,1.4,1.5,1.4,,0.9,0.9,0.9,,1.3,1.3,1.3,,1.1,1.2,1.1
19,  Çorum,1.8,1.8,1.8,,1.6,1.6,1.6,,0.7,0.7,0.7,,1.3,1.3,1.3,,1.3,1.3,1.3
20,  Denizli,1.9,1.9,1.8,,1.7,1.7,1.6,,1.1,1.1,1.1,,1.6,1.6,1.5,,1.6,1.6,1.5
21,  Diyarbakır,1.3,1.3,1.3,,1.3,1.3,1.3,,0.9,0.9,0.9,,1.3,1.3,1.3,,1.3,1.3,1.3
22,  Edirne,2.0,2.0,2.0,,1.7,1.7,1.7,,1.2,1.2,1.2,,1.6,1.7,1.6,,1.6,1.7,1.6
23,  Elazığ,1.5,1.5,1.5,,1.3,1.3,1.3,,0.8,0.8,0.9,,1.1,1.1,1.1,,1.1,1.1,1.0
24,  Erzincan,2.8,2.8,2.7,,2.0,2.1,2.0,,1.4,1.4,1.5,,1.8,1.8,1.8,,1.8,1.8,1.8
