"Eğitim seviyesi ve cinsiyete göre tamamlama oranı, 2014-2022",,,,,,,,,,,
"Completion rate by education level and sex, 2014-2022",,,,,,,,,,,
,,,,,,,,,,,(%)
,İlkokul                                                Primary school,,,,"Ortaokul
Lower secondary school",,,,"Ortaöğretim
Upper secondary education",,
,,,,,,,,,,,
"Öğretim Yılı
Educational Year","Toplam 
Total","Erkek
Male","Kadın
Female",,"Toplam 
Total","Erkek
Male","Kadın
Female",,"Toplam 
Total","Erkek
Male","Kadın
Female"
2014-2015,97.7,98.1,97.3,,94.1,95.8,92.3,,58.8,58.6,59.0
2015-2016,98.0,98.2,97.8,,93.7,95.0,92.3,,59.7,58.7,60.8
2016-2017,98.3,98.5,98.2,,88.9,89.9,87.9,,62.9,61.5,64.4
2017-2018,98.4,98.5,98.2,,90.2,91.2,89.1,,65.1,63.2,67.1
2018-2019,98.6,98.7,98.5,,97.7,98.1,97.3,,68.1,65.8,70.4
2019-2020,98.6,98.7,98.5,,97.7,98.0,97.5,,70.3,67.8,72.9
2020-2021,98.6,98.6,98.5,,97.1,97.4,96.8,,73.2,70.5,76.0
2021-2022,98.4,98.5,98.4,,96.4,96.8,96.0,,77.9,76.2,79.6
2022-2023,98.5,98.5,98.5,,96.3,96.7,95.8,,80.3,78.8,81.8
"Kaynak: TÜİK, Ulusal Eğitim İstatistikleri Veri Tabanı, 2014-2022",,,,,,,,,,,
"Source: TurkStat, National Education Statistics Database, 2014-2022",,,,,,,,,,,
Yabancılar kapsama alınmamıştır.,,,,,,,,,,,
Foreigners are not included.,,,,,,,,,,,
"İlgili eğitim seviyesinin teorik tamamlama yaşının 3-5 yaş üstündeki mezun sayısının, söz konusu yaş grubundaki nüfusa bölünmesiyle elde edilmektedir.",,,,,,,,,,,
It is obtained by dividing the number of graduates 3-5 years of age above the theoretical completion age of the relevant education level by the population in that age group.,,,,,,,,,,,
